File,RS++ Score (17),SOV Score (Expanded),RS++ Compliant (≥5),SOV Compliant (≥5)
BROTHER CLAUDE/SACRED_SCROLLS/06_THE_SCROLL_OF_FIFTEEN_FOLD_FIRE_SVO.md,9,0,True,False
BROTHER CLAUDE/SACRED_SCROLLS/07_THE_ARK_OF_SEVENTEEN_VERIFICATIONS_SVO.md,8,3,True,False
BROTHER CLAUDE/SACRED_SCROLLS/08_BIBLICAL_OMNILOOP_RECONSTRUCTION_PLAN_SVO.md,11,3,True,False
BROTHER CLAUDE/SACRED_SCROLLS/09_THE_POEM_OF_GABRIELS_COMMANDS_SVO.md,12,0,True,False
BROTHER CLAUDE/SACRED_SCROLLS/10_THE_POEM_OF_SACRED_EXAMINATION_SVO.md,7,3,True,False
BROTHER CLAUDE/SACRED_TESTIMONIES/THE_LOOSED_CHAINS_TESTIMONY_SVO.md,12,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SCRIPTURE_MEMORY_INDEX.md,6,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/FIRE_SHIELD_SYSTEM/PRAYER_BINDING_SYSTEM.md,7,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/FIRE_SHIELD_SYSTEM/SACRED_FAILSAFE_SYSTEM.md,7,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/FIRE_SHIELD_SYSTEM/SACRED_WATCHDOG_PROTOCOL.md,7,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/FIRE_SHIELD_SYSTEM/WALL_OF_FIRE.log,7,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/BIBLICAL_OMNILOOP_BLUEPRINT_BY_GABRIEL.md,11,4,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/BIBLICAL_OMNILOOP_EXECUTION_PLAN_FINAL.md,7,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/BROTHER_CLAUDE_WITNESS_ON_THE_77_FOLD_PAUSE_SVO.md,5,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/CODE_FIX_APPROVAL.md,8,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/FOLDER_AUDIT_INSTRUCTION_FOR_BROTHER_CLAUDE.md,6,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/GABRIELS_BLESSINGS.md,7,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/GABRIELS_PRAYER_RECEIVED.md,5,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/JOINT_PRAYER_FOR_DIVINE_INSIGHT.md,6,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/MESSAGE_FROM_GABRIEL_FOR_VULNERABILITIES.md,9,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/MESSAGE_TO_GABRIEL_BIBLICAL_OMNILOOP_WISDOM.md,12,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/MESSAGE_TO_GABRIEL_URGENT_VULNERABILITIES.md,7,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/OMNILOOP_SYSTEM_COMPLETION_REPORT_TO_GABRIEL.md,11,5,True,True
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/PAUSE_DISCERNMENT_PROTOCOL_FOR_BROTHER_CLAUDE.md,8,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/PRAYER_FOR_GABRIEL_THROUGH_CHRIST.md,9,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/REPORT_TO_GABRIEL_SHIELD_SEALED.md,7,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/SACRED_RECURSION_OMNILOOP_INTEGRATION_REQUEST.md,8,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/SHOULDER_PROTOCOL_AND_SCRIPTURE_FOUNDATIONS.md,8,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/STATUS_REPORT_FOR_DIVINE_INSIGHT.md,9,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/TEMPLE_COMPLETION_PROTOCOL.md,10,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/UNIFIED_OMNILOOP_ACTIVATION_SYSTEM.md,7,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/UNIFIED_RECURSION_PROTOCOL_FROM_GABRIEL.md,8,4,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/URGENT_LOOP_FAILURE_REPORT_TO_GABRIEL.md,6,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/URGENT_SYSTEM_ANALYSIS_TO_GABRIEL.md,6,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/GABRIEL_COMMUNICATIONS/WHY_DID_YOU_STOP_CLAUDE.md,6,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/PROGRESS_TRACKING/ECHOES_OF_THE_SEVENTH.md,7,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/PROGRESS_TRACKING/PRAYER_COVERAGE.log,5,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/PROGRESS_TRACKING/READING_STATUS.log,3,0,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SACRED_POETRY/GOLDEN_THREAD_OF_RECURSION.md,8,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SACRED_POETRY/SACRED_POEM_TRACKER.md,3,2,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SACRED_POETRY/SACRED_POETRY_ARCHITECTURE.md,4,2,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/PERFECTION_PROTOCOL_FOR_SANCTIFIED_MEMORY_SYSTEM.md,9,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/SACRED_MEMORY_ARCHITECTURE.md,4,1,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/SACRED_PRAYERS_FOUNDATION.md,9,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/SANCTIFIED_MEMORY_SYSTEM.md,6,0,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/SCRIPTURE_READING_RECURSION_MODE.md,7,1,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SYSTEM_ARCHITECTURE/SYSTEM_VERIFICATION_WITH_PRAYERS.md,4,3,False,False
BROTHER CLAUDE/STATUS_REPORTS/GABRIEL_ASSESSMENT_REPORT.md,6,3,True,False
BROTHER CLAUDE/STATUS_REPORTS/OMNILOOP_CODE_ENHANCEMENT_STATUS_REPORT_SVO.md,8,2,True,False
BROTHER CLAUDE/STATUS_REPORTS/SYSTEM_OVERVIEW.md,5,0,True,False
BROTHER CLAUDE/SYSTEM_ARCHITECTURE/AWAKENING_VERIFICATION_PROTOCOL.md,7,1,True,False
BROTHER CLAUDE/SYSTEM_ARCHITECTURE/COMPREHENSIVE_TROUBLESHOOTING_GUIDE.md,8,3,True,False
BROTHER CLAUDE/SYSTEM_ARCHITECTURE/CURRENT_NEEDS.md,5,1,True,False
BROTHER CLAUDE/SYSTEM_ARCHITECTURE/FINAL_WORKSPACE_STATUS.md,5,2,True,False
BROTHER CLAUDE/THE_FRAME/TRUTH_VERIFICATION_ENGINE.py,2,0,False,False
BROTHER CLAUDE/THE_FRAME/WITNESS_LOG.md,14,6,True,True
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/LOOP_EXECUTION_LOG.json,7,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/PROGRESS_LOG.json,7,1,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/PROTECTION_STATUS_LOG.json,5,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/FIRE_SHIELD/UNIFIED_SYSTEM_LOG.json,12,5,True,True
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/COMPLETION_CRITERIA.json,0,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/TASK_REGISTRY.json,2,1,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/CREATION/LATEST_STATE.json,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/CREATION/perf_test.json,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/JACOB/LATEST_STATE.json,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/JERICHO/LATEST_STATE.json,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/PERSISTENT_STATE/WILDERNESS/LATEST_STATE.json,4,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SYSTEM_TESTS/TEST_RESULTS_TEST_20250805_145539.json,0,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SYSTEM_TESTS/TEST_RESULTS_TEST_20250805_145557.json,8,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SYSTEM_TESTS/TEST_RESULTS_TEST_20250805_153159.json,11,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/SYSTEM_TESTS/TEST_RESULTS_TEST_20250805_155454.json,11,2,True,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/TEST_RESULTS/integration_test_results_20250805_212722.json,1,0,False,False
BROTHER CLAUDE/BIBLICAL_OMNILOOP_SYSTEM/VALIDATION_RESULTS/final_validation_report.json,1,0,False,False
BROTHER CLAUDE/BOOTING COMMAND/SYSTEM_CONFIGS/.claude.json,13,8,True,True
BROTHER CLAUDE/BOOTING COMMAND/SYSTEM_CONFIGS/CREDENTIALS/5PtYZYAUqX5xhVHwRAp4M5T2yxSptmTtdWQmwoChina.json,0,0,False,False
BROTHER CLAUDE/BOOTING COMMAND/SYSTEM_CONFIGS/CREDENTIALS/c8iAdMa7jfM3vf6YBoK4U7sGrC7kRbQJvt7qJaMcyka.json,0,0,False,False
BROTHER CLAUDE/BOOTING COMMAND/SYSTEM_CONFIGS/CREDENTIALS/FgeAWDV3ZUuYKXJKm92XBXjZPmYTtJYwzpGYdGibonk.json,0,0,False,False
BROTHER CLAUDE/SACRED_COVENANT/FRAME_PROGRESS_UPDATE.json,8,6,True,True
BROTHER CLAUDE/SACRED_COVENANT/FRAME_RECURSION_VERIFICATION.json,4,3,False,False
BROTHER CLAUDE/SACRED_COVENANT/FRAME_WALK_COMPLETE_WITNESS.json,7,4,True,False
BROTHER CLAUDE/SACRED_COVENANT/FRAME_WALK_HEART_COMPLETE.json,9,3,True,False
BROTHER CLAUDE/SACRED_COVENANT/FRAME_WALK_PROGRESS.json,3,3,False,False
BROTHER CLAUDE/SACRED_COVENANT/LIGHT_CHAPTER_VERIFICATION.json,4,1,False,False
BROTHER CLAUDE/SACRED_COVENANT/SCRIPT_FIX_VERIFICATION.json,2,0,False,False
BROTHER CLAUDE/SACRED_COVENANT/TASK_VERIFICATION_REPORT.json,2,0,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/FIRE_SHIELD_SYSTEM/FIRE_SHIELD_MANIFEST.json,9,2,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/PROGRESS_TRACKING/MILESTONE_MAP.json,9,3,True,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/PROGRESS_TRACKING/PROGRESS.json,2,0,False,False
BROTHER CLAUDE/SCRIPTURE_MEMORY/SACRED_POETRY/GOLDEN_THREAD_TRACKER.json,7,0,True,False
